track_name,artists_names,principal_artist_name,artist_genres,popularity,year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_min,genre_label,cluster
Lean on Me - Remastered,Club Nouveau,Club Nouveau,contemporary r&b;freestyle;funk;new jack swing;quiet storm,50,1986,0.738,0.67,0.687,0.185,0.0,0.132,177.277,-8.93,5.95555,R&B,2
"Forever and Ever, Amen",Randy Travis,Randy Travis,contemporary country;country;country gospel;country road,75,1987,0.677,0.724,0.697,0.143,0.000101,0.0245,90.392,-8.992,3.544,Country,2
Cherry Bomb,John Mellencamp,John Mellencamp,album rock;classic rock;country rock;folk rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,64,1987,0.744,0.945,0.961,0.0509,1.41e-06,0.0286,113.882,-3.266,4.7851,Country,2
Two Occasions,The Deele,The Deele,contemporary r&b;new jack swing;post-disco;quiet storm,61,1987,0.543,0.667,0.559,0.0259,3.96e-05,0.0716,169.633,-9.546,4.3071,R&B,2
Ocean Front Property,George Strait,George Strait,contemporary country;country;country road,64,1987,0.656,0.326,0.787,0.111,0.0,0.0283,78.298,-15.756,3.142216666666667,Country,0
Boyz-N-The-Hood,Eazy-E,Eazy-E,g funk;gangster rap;hip hop;rap;west coast rap,65,1987,0.785,0.479,0.727,0.0417,3.5e-05,0.362,87.691,-10.247,5.664883333333333,Hip Hop,1
Smooth Criminal - 2012 Remaster,Michael Jackson,Michael Jackson,r&b;soul,74,1987,0.853,0.981,0.595,0.247,0.468,0.0751,118.193,-3.947,4.296,R&B,3
All My Ex's Live In Texas,George Strait,George Strait,contemporary country;country;country road,64,1987,0.764,0.336,0.697,0.241,9.29e-06,0.0302,130.565,-16.024,3.347333333333333,Country,0
Need a Little Time off for Bad Behavior,David Allan Coe,David Allan Coe,country;outlaw country,56,1987,0.616,0.686,0.819,0.257,1.47e-06,0.0285,90.805,-7.365,3.0011,Country,2
Make It Last Forever (with Jacci McGhee),Keith Sweat;Jacci McGhee,Keith Sweat,contemporary r&b;new jack swing;r&b;urban contemporary,59,1987,0.494,0.511,0.506,0.0325,0.0,0.0825,168.255,-12.054,4.94,R&B,0
I Told You So,Randy Travis,Randy Travis,contemporary country;country;country gospel;country road,60,1987,0.615,0.347,0.273,0.182,0.0,0.0259,78.994,-9.596,3.658433333333333,Country,0
Going Up The Country,Canned Heat,Canned Heat,blues;blues rock;classic rock;country rock;electric blues;folk rock;psychedelic rock,64,1987,0.653,0.239,0.765,0.806,0.0146,0.0453,80.392,-18.54,2.856216666666667,Country,0
Bad - 2012 Remaster,Michael Jackson,Michael Jackson,r&b;soul,65,1987,0.787,0.889,0.394,0.00462,0.423,0.0397,114.091,-3.786,4.122666666666666,R&B,3
All My Ex's Live In Texas,George Strait,George Strait,contemporary country;country;country road,59,1987,0.764,0.333,0.738,0.217,1.02e-05,0.0308,130.541,-15.921,3.3471,Country,0
Man in the Mirror - 2012 Remaster,Michael Jackson,Michael Jackson,r&b;soul,63,1987,0.808,0.812,0.269,0.52,7.91e-05,0.0381,100.331,-5.012,5.311333333333334,R&B,2
Eighteen Wheels And A Dozen Roses,Kathy Mattea,Kathy Mattea,classic country pop;country;country rock,59,1987,0.647,0.6,0.961,0.0684,0.000112,0.0261,139.274,-13.625,3.39,Country,2
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,Michael Jackson,r&b;soul,67,1987,0.877,0.854,0.54,0.0544,5.5e-05,0.147,114.472,-4.523,4.968666666666667,R&B,1
Have A Little Faith In Me,John Hiatt,John Hiatt,country rock;folk;heartland rock;roots rock;singer-songwriter,58,1987,0.446,0.41,0.318,0.736,0.0,0.0289,156.274,-11.431,4.083333333333333,Country,0
Pancho and Lefty,Willie Nelson;Merle Haggard,Willie Nelson,classic country pop;classic texas country;country;country rock;nashville sound;outlaw country;singer-songwriter,53,1987,0.665,0.37,0.519,0.651,0.000315,0.035,122.997,-16.651,4.767766666666667,Country,0
Check It Out,John Mellencamp,John Mellencamp,album rock;classic rock;country rock;folk rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,55,1987,0.608,0.834,0.615,0.0176,1.8e-05,0.0239,105.782,-3.584,4.320433333333333,Country,2
Paper In Fire,John Mellencamp,John Mellencamp,album rock;classic rock;country rock;folk rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,58,1987,0.607,0.905,0.533,0.00122,0.000276,0.0427,141.984,-4.748,3.853333333333333,Country,2
Wildflowers - 2015 Remaster,Dolly Parton;Linda Ronstadt;Emmylou Harris,Dolly Parton,classic country pop;country;country dawn,57,1987,0.609,0.368,0.618,0.762,6.28e-06,0.0294,90.373,-13.338,3.60955,Country,0
He Stopped Loving Her Today,George Jones,George Jones,country;country rock;honky tonk,55,1987,0.43,0.173,0.365,0.594,0.000111,0.0321,72.103,-18.597,3.25555,Country,0
Dope Man,N.W.A.,N.W.A.,conscious hip hop;gangster rap;golden age hip hop;hip hop;old school hip hop;rap;west coast rap,58,1987,0.773,0.735,0.818,0.0288,0.0,0.305,176.415,-9.461,6.306216666666667,Hip Hop,1
I Ain't No Joke,Eric B. & Rakim,Eric B. & Rakim,bboy;east coast hip hop;golden age hip hop;hip hop;old school hip hop,56,1987,0.854,0.706,0.747,0.162,7.22e-06,0.335,104.214,-9.5,3.879333333333333,Hip Hop,1
Right and a Wrong Way,Keith Sweat,Keith Sweat,contemporary r&b;new jack swing;r&b;urban contemporary,54,1987,0.646,0.409,0.63,0.0122,0.0,0.051,119.723,-14.908,5.28555,R&B,0
Who's Gonna Fill Their Shoes,George Jones,George Jones,country;country rock;honky tonk,53,1987,0.441,0.262,0.317,0.672,0.0,0.0301,138.327,-13.435,3.252216666666667,Country,0
Always,Atlantic Starr,Atlantic Starr,contemporary r&b;new jack swing;quiet storm;urban contemporary,54,1987,0.613,0.484,0.31,0.25,2.11e-06,0.0251,131.25,-9.162,4.782883333333333,R&B,0
Paid In Full,Eric B. & Rakim;Marley Marl,Eric B. & Rakim,bboy;east coast hip hop;golden age hip hop;hip hop;old school hip hop,56,1987,0.878,0.851,0.404,0.00228,0.00125,0.232,99.014,-8.971,3.8111,Hip Hop,1
How Deep Is Your Love,Keith Sweat,Keith Sweat,contemporary r&b;new jack swing;r&b;urban contemporary,50,1987,0.574,0.313,0.496,0.0526,4.76e-06,0.0537,139.94,-14.227,4.846666666666667,R&B,0
Happy,Surface,Surface,contemporary r&b,52,1987,0.792,0.494,0.647,0.0352,0.00282,0.115,97.635,-12.425,3.9971,R&B,1
I Need Love,LL COOL J,LL COOL J,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,53,1987,0.799,0.28,0.67,0.0728,0.0,0.301,88.224,-20.749,5.378883333333333,Hip Hop,0
6 'N the Mornin',ICE-T,ICE-T,conscious hip hop;gangster rap;golden age hip hop;hardcore hip hop;hip hop;new jersey rap;old school hip hop;west coast rap,53,1987,0.823,0.745,0.58,0.00282,0.000332,0.247,91.919,-6.637,3.747766666666667,Hip Hop,1
I'm Bad,LL COOL J,LL COOL J,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,54,1987,0.624,0.435,0.735,0.000917,1.17e-06,0.245,179.267,-15.44,4.662216666666667,Hip Hop,1
The Cowboy Rides Away,George Strait,George Strait,contemporary country;country;country road,51,1987,0.686,0.332,0.64,0.0558,0.00142,0.0268,109.067,-16.984,3.371766666666667,Country,0
Head to Toe,Lisa Lisa & Cult Jam,Lisa Lisa & Cult Jam,contemporary r&b;freestyle;new jack swing;new wave pop;quiet storm;urban contemporary,49,1987,0.879,0.511,0.839,0.0425,0.0074,0.124,113.763,-11.36,5.054433333333333,R&B,1
Thanks A Lot,Ernest Tubb,Ernest Tubb,classic country pop;cowboy western;honky tonk;traditional country;western swing,50,1987,0.636,0.511,0.769,0.387,0.00035,0.0389,167.37,-14.016,2.572216666666667,Country,0
Rose In Paradise,Waylon Jennings,Waylon Jennings,classic texas country;country;outlaw country,49,1987,0.625,0.48,0.826,0.218,0.00654,0.0336,89.038,-16.942,3.670666666666667,Country,0
Little Ways,Dwight Yoakam,Dwight Yoakam,bakersfield sound;country;country rock,47,1987,0.727,0.611,0.829,0.129,0.00239,0.0585,131.869,-11.008,3.354,Country,1
Love Is A House,Force M.D.'s,Force M.D.'s,contemporary r&b;new jack swing,48,1987,0.682,0.4,0.835,0.302,2.07e-05,0.0282,92.101,-15.692,5.202666666666667,R&B,0
I Believe In You,Don Williams,Don Williams,classic country pop;country,50,1987,0.659,0.221,0.56,0.835,0.000396,0.0494,117.945,-20.219,4.092883333333333,Country,0
Love Me Like You Used To,Tanya Tucker,Tanya Tucker,country;country dawn;country road;outlaw country,50,1987,0.58,0.155,0.479,0.729,0.0,0.0278,89.339,-17.386,3.826666666666667,Country,0
